DELAY (SEC) 0.000 ; RAMP (V) 0.0005 ; MAX VOLT (V) 3.00 ; RAMP RESISTANCE TOLERANCE (low R) (float %) 0.030 ; RAMP RESISTANCE TOLERANCE (low-med R) (float %) 0.040 ; RAMP RESISTANCE TOLERANCE (med-high R) (float %) 0.060 ; RAMP RESISTANCE TOLERANCE (high R) (float %) 10000000.000 ; TARGET RESISTANCE (Ohms) 1000.000000000 ; TARGET RESISTANCE TOLERANCE (float %) 0.001 ; RAMP DOWN (V) 0.200 ; NUM CONSEC HITS (low R) 3 ; NUM CONSEC HITS (low-med R) 4 ;  NUM CONSEC HITS (med-high R) 6 ; NUM CONSEC HITS (high R) 100000 ; NUM CONSEC NDR (low R) 3 ; NUM CONSEC HITS (low-med R) 4 ; NUM CONSEC HITS (med-high R) 6 ; NUM CONSEC NDR (high R) 10000000 ; LOW/LOW-MED SWITCH RESISTANCE (ohms) 75.000000000 ; LOW-MED/MED-HIGH SWITCH RESISTANCE (ohms) 200.000000000 ; MED-HIGH/HIGH SWITCH RESISTANCE (ohms) 400.000000000 ;  INTEGRATION TIME (PLC) 1 ; RAMPDOWN DWELL (msec/mV) 0001 ; TEMPERATURE (K) 298.0000 
 voltage,current,resistance 
+1.205000E+00,+2.750115E-03,438.163513
+1.205000E+00,+2.749732E-03,438.224548
+1.205000E+00,+2.749428E-03,438.273010
+1.205000E+00,+2.749691E-03,438.231079
+1.205000E+00,+2.749413E-03,438.275391
+1.205000E+00,+2.749559E-03,438.252106
+1.205000E+00,+2.749045E-03,438.334076
+1.205000E+00,+2.749051E-03,438.333099
+1.205000E+00,+2.748891E-03,438.358612
+1.205000E+00,+2.748606E-03,438.404053
+1.205000E+00,+2.748781E-03,438.376160
+1.205000E+00,+2.748098E-03,438.485107
+1.205000E+00,+2.748264E-03,438.458618
+1.205000E+00,+2.748135E-03,438.479187
+1.205000E+00,+2.747266E-03,438.617889
+1.205000E+00,+2.747645E-03,438.557404
+1.205000E+00,+2.747508E-03,438.579254
+1.205000E+00,+2.747102E-03,438.644104
+1.205000E+00,+2.746812E-03,438.690399
+1.205000E+00,+2.746700E-03,438.708282
+1.205000E+00,+2.746620E-03,438.721069
+1.205000E+00,+2.746285E-03,438.774597
+1.205000E+00,+2.746080E-03,438.807312
+1.205000E+00,+2.746121E-03,438.800781
+1.205000E+00,+2.745690E-03,438.869659
+1.205000E+00,+2.745546E-03,438.892700
+1.205000E+00,+2.745848E-03,438.844421
+1.205000E+00,+2.745762E-03,438.858154
+1.205000E+00,+2.745396E-03,438.916656
+1.205000E+00,+2.744961E-03,438.986206
+1.205000E+00,+2.744765E-03,439.017548
+1.205000E+00,+2.744598E-03,439.044250
+1.205000E+00,+2.744506E-03,439.058990
+1.205000E+00,+2.744448E-03,439.068298
+1.205000E+00,+2.744336E-03,439.086212
+1.205000E+00,+2.743841E-03,439.165405
+1.205000E+00,+2.743786E-03,439.174225
+1.205000E+00,+2.743208E-03,439.266724
+1.205000E+00,+2.743367E-03,439.241272
+1.205000E+00,+2.743160E-03,439.274445
+1.205000E+00,+2.742893E-03,439.317169
+1.205000E+00,+2.742877E-03,439.319763
+1.205000E+00,+2.742621E-03,439.360779
+1.205000E+00,+2.742561E-03,439.370361
+1.205000E+00,+2.742399E-03,439.396332
+1.205000E+00,+2.742121E-03,439.440887
+1.205000E+00,+2.742622E-03,439.360596
+1.205000E+00,+2.743271E-03,439.256653
+1.205000E+00,+2.742466E-03,439.385590
+1.205000E+00,+2.742248E-03,439.420532
+1.205000E+00,+2.742267E-03,439.417480
+1.205000E+00,+2.741557E-03,439.531250
+1.205000E+00,+2.741592E-03,439.525665
+1.205000E+00,+2.741809E-03,439.490875
+1.205000E+00,+2.741417E-03,439.553741
+1.205000E+00,+2.741396E-03,439.557098
+1.205000E+00,+2.740755E-03,439.659882
+1.205000E+00,+2.740442E-03,439.710083
+1.205000E+00,+2.740514E-03,439.698547
+1.205000E+00,+2.739676E-03,439.833038
+1.205000E+00,+2.739769E-03,439.818115
+1.205000E+00,+2.739455E-03,439.868530
+1.205000E+00,+2.738653E-03,439.997345
+1.205000E+00,+2.738623E-03,440.002167
+1.205000E+00,+2.738345E-03,440.046844
+1.205000E+00,+2.737846E-03,440.127045
+1.205000E+00,+2.737622E-03,440.163055
+1.205000E+00,+2.737624E-03,440.162720
+1.205000E+00,+2.737421E-03,440.195343
+1.205000E+00,+2.737381E-03,440.201782
+1.205000E+00,+2.737413E-03,440.196655
+1.205000E+00,+2.736818E-03,440.292358
+1.205000E+00,+2.736823E-03,440.291565
+1.205000E+00,+2.736173E-03,440.396118
+1.205000E+00,+2.736273E-03,440.380066
+1.205000E+00,+2.735747E-03,440.464722
+1.205000E+00,+2.735339E-03,440.530396
+1.205000E+00,+2.735113E-03,440.566803
+1.205000E+00,+2.734931E-03,440.596161
+1.205000E+00,+2.734865E-03,440.606750
+1.205000E+00,+2.734765E-03,440.622894
+1.205000E+00,+2.734937E-03,440.595184
+1.205000E+00,+2.734916E-03,440.598541
+1.205000E+00,+2.734638E-03,440.643341
+1.205000E+00,+2.734397E-03,440.682159
+1.205000E+00,+2.734055E-03,440.737305
+1.205000E+00,+2.733987E-03,440.748260
+1.205000E+00,+2.734269E-03,440.702820
+1.205000E+00,+2.733862E-03,440.768433
+1.205000E+00,+2.733327E-03,440.854706
+1.205000E+00,+2.733357E-03,440.849854
+1.205000E+00,+2.733014E-03,440.905182
+1.205000E+00,+2.733094E-03,440.892303
+1.205000E+00,+2.732798E-03,440.940033
+1.205000E+00,+2.732679E-03,440.959229
+1.205000E+00,+2.732233E-03,441.031219
+1.205000E+00,+2.731730E-03,441.112427
+1.205000E+00,+2.730867E-03,441.251831
+1.205000E+00,+2.730503E-03,441.310638
+1.205000E+00,+2.730614E-03,441.292694
+1.205000E+00,+2.730473E-03,441.315491
+1.205000E+00,+2.730197E-03,441.360107
+1.205000E+00,+2.730010E-03,441.390320
+1.205000E+00,+2.729734E-03,441.434967
+1.205000E+00,+2.729774E-03,441.428497
+1.205000E+00,+2.730019E-03,441.388885
+1.205000E+00,+2.729452E-03,441.480591
+1.205000E+00,+2.729697E-03,441.440979
+1.205000E+00,+2.728973E-03,441.558044
+1.205000E+00,+2.728421E-03,441.647400
+1.205000E+00,+2.729017E-03,441.550934
+1.205000E+00,+2.728674E-03,441.606445
+1.205000E+00,+2.728459E-03,441.641266
+1.205000E+00,+2.728380E-03,441.654022
+1.205000E+00,+2.727675E-03,441.768188
